Sample,Wavelength,Absorption,ReducedScattering
raw_umber_1_4.17.25,750.0,0.0,0.3267109574930802
raw_umber_1_4.17.25,748.0,0.0,0.3276514441088075
raw_umber_1_4.17.25,746.0,0.0,0.328597166985644
raw_umber_1_4.17.25,744.0,0.0,0.3295481694328325
raw_umber_1_4.17.25,742.0,0.0,0.330504495235542
raw_umber_1_4.17.25,740.0,0.0,0.3314661886613974
raw_umber_1_4.17.25,738.0,0.0,0.3324332944671184
raw_umber_1_4.17.25,736.0,0.0,0.333405857905267
raw_umber_1_4.17.25,734.0,0.0,0.3343839247311064
raw_umber_1_4.17.25,732.0,0.0,0.3353675412095751
raw_umber_1_4.17.25,730.0,0.0,0.3363567541223759
raw_umber_1_4.17.25,728.0,0.0,0.3373516107751835
raw_umber_1_4.17.25,726.0,0.0,0.3383521590049735
raw_umber_1_4.17.25,724.0,0.0,0.3393584471874732
raw_umber_1_4.17.25,722.0,0.0,0.3403705242447391
raw_umber_1_4.17.25,720.0,0.0,0.3413884396528613
raw_umber_1_4.17.25,718.0,0.0,0.3424122434497991
raw_umber_1_4.17.25,716.0,0.0,0.3434419862433491
raw_umber_1_4.17.25,714.0,0.0,0.3444777192192488
raw_umber_1_4.17.25,712.0,0.0,0.3455194941494197
raw_umber_1_4.17.25,710.0,0.0,0.3465673634003492
raw_umber_1_4.17.25,708.0,0.0,0.3476213799416196
raw_umber_1_4.17.25,706.0,0.0,0.3486815973545805
raw_umber_1_4.17.25,704.0,0.0,0.3497480698411739
raw_umber_1_4.17.25,702.0,0.0,0.35082085223291
raw_umber_1_4.17.25,700.0,0.0,0.3519
raw_umber_1_4.17.25,698.0,0.0,0.3529855692606471
raw_umber_1_4.17.25,696.0,0.0,0.3540776167905012
raw_umber_1_4.17.25,694.0,0.0,0.355176200032277
raw_umber_1_4.17.25,692.0,0.0,0.3562813771055433
raw_umber_1_4.17.25,690.0,0.0,0.3573932068166827
raw_umber_1_4.17.25,688.0,0.0,0.3585117486690293
raw_umber_1_4.17.25,686.0,0.0,0.3596370628731838
raw_umber_1_4.17.25,684.0,0.0,0.3607692103575142
raw_umber_1_4.17.25,682.0,0.0,0.3619082527788415
raw_umber_1_4.17.25,680.0,0.0,0.3630542525333177
raw_umber_1_4.17.25,678.0,0.0,0.3642072727674988
raw_umber_1_4.17.25,676.0,0.0,0.3653673773896163
raw_umber_1_4.17.25,674.0,0.0,0.3665346310810522
raw_umber_1_4.17.25,672.0,0.0,0.3677090993080217
raw_umber_1_4.17.25,670.0,0.0,0.3688908483334675
raw_umber_1_4.17.25,668.0,0.0,0.3700799452291712
raw_umber_1_4.17.25,666.0,0.0,0.3712764578880847
raw_umber_1_4.17.25,664.0,0.0,0.3724804550368882
