lambda,raw_umber_1_4.17.25,raw_umber_3_4.17.25,raw_umber_4_4.17.25,raw_umber_5_4.17.25,raw_umber_6_4.17.25
400.0,0.642763186525078,0.6893891726904854,0.7178462836487566,0.8112600496542527,0.8886196739693702
402.0,0.6393213654296278,0.6873791755361083,0.7156974941176826,0.8085004136477952,0.8855906310640584
404.0,0.635914918605781,0.6853849704578678,0.7135657529790697,0.8057637908093646,0.8825868691300438
406.0,0.6325433100507857,0.6834063561196232,0.711450841573578,0.80304987671929,0.8796080535736716
408.0,0.629206014470746,0.6814431347274619,0.7093525451055028,0.8003583724584488,0.8766538558493516
410.0,0.625902517015484,0.6794951119503869,0.7072706525559748,0.7976889844825096,0.8737239533212419
412.0,0.622632313021221,0.6775620968431563,0.7052049565985195,0.7950414244996475,0.8708180291287525
414.0,0.6193949077608096,0.6756439017712061,0.703155253516906,0.7924154093516188,0.8679357720557463
416.0,0.616189816201264,0.6737403423375935,0.7011213431252098,0.7898106608980885,0.8650768764033164
418.0,0.6130165627683358,0.6718512373118914,0.6991030286900193,0.7872269059041052,0.862241041866027
420.0,0.6098746811179024,0.6699764085609796,0.6971001168547192,0.784663875930623,0.8594279734115066
422.0,0.6067637139139371,0.6681156809816654,0.6951124175657861,0.782121307227976,0.8566373811632878
424.0,0.6036832126128429,0.6662688824350862,0.6931397440010337,0.7795989406322079,0.8538689802867913
426.0,0.6006327372539364,0.6644358436828296,0.6911819124997454,0.7770965214641733,0.8511224908783542
428.0,0.5976118562558811,0.6626163983247246,0.689238742494638,0.7746137994313165,0.8483976378572089
430.0,0.5946201462188725,0.6608103827382507,0.6873100564455996,0.772150528532053,0.8456941508603203
432.0,0.5916571917323872,0.6590176360195137,0.6853956797751477,0.7697064669626648,0.8430117641399925
434.0,0.588722585188314,0.6572379999257438,0.6834954408055528,0.7672813770266378,0.8403502164641591
436.0,0.5858159265992939,0.6554713188192675,0.681609170697582,0.7648750250463645,0.837709251019277
438.0,0.5829368234220993,0.65371743961291,0.6797367033908082,0.7624871812771395,0.8350886153157411
440.0,0.5800848903858893,0.6519762117167851,0.6778778755454413,0.7601176198233776,0.8324880610957455
442.0,0.577259749325189,0.6502474869864314,0.6760325264856356,0.7577661185569888,0.8299073442435165
444.0,0.5744610290174375,0.6485311196722541,0.6742004981442272,0.755432459037845,0.8273462246978455
446.0,0.5716883650249621,0.6468269663702347,0.6723816350088627,0.753116426436273,0.8248044663668528
448.0,0.5689413995412401,0.6451348859738708,0.6705757840694748,0.7508178094575176,0.8222818370449178
450.0,0.5662197812413096,0.64345473962731,0.6687827947670665,0.748536400268113,0.8197781083317067
452.0,0.5635231651362035,0.641786390679643,0.6670025189437667,0.7462719944241063,0.8172930555532412
454.0,0.560851212431278,0.640129704640323,0.6652348107941184,0.7440243908010805,0.8148264576849423
456.0,0.5582035903883178,0.6384845491356772,0.6634795268175651,0.7417933915259233,0.8123780972765969
458.0,0.5555799721912981,0.6368507938664808,0.6617365257721004,0.7395788019102885,0.8099477603791867
460.0,0.5529800368156935,0.635228310566562,0.6600056686290461,0.7373804303857039,0.8075352364735267
462.0,0.5504034689012243,0.6336169729624086,0.6582868185289301,0.7351980884402776,0.8051403184006619
464.0,0.5478499586279343,0.6320166567337484,0.656579840738428,0.7330315905569544,0.8027628022939705
466.0,0.5453192015955006,0.6304272394750744,0.654884602608342,0.7308807541532794,0.8004024875129235
468.0,0.5428108987056774,0.6288486006580911,0.6532009735325869,0.7287453995226268,0.798059176578457
470.0,0.540324756047778,0.627280621595052,0.6515288249081528,0.7266253497768499,0.7957326751099059
472.0,0.5378604847871048,0.6257231854029663,0.6498680300960206,0.7245204307903127,0.7934227917634599
474.0,0.5354178010562416,0.6241761769686516,0.6482184643830009,0.7224304711452659,0.7911293381720965
476.0,0.5329964258491177,0.622639482914604,0.646580004944472,0.7203553020785274,0.7888521288869482
478.0,0.5305960849177671,0.6211129915656702,0.6449525308079923,0.7182947574294314,0.7865909813200672
480.0,0.5282165086717012,0.6195965929164932,0.6433359228177618,0.7162486735890099,0.7843457156885443
482.0,0.5258574320798172,0.6180901785997145,0.6417300635999107,0.7142168894503768,0.7821161549599497
484.0,0.5235185945747695,0.6165936418549105,0.6401348375285928,0.7121992463602734,0.7799021247990533
486.0,0.5211997399597328,0.6151068774982431,0.638550130692859,0.7101955880717514,0.777703453515794
488.0,0.5189006163174862,0.6136297818928066,0.6369758308642944,0.7082057606979575,0.7755199720144618
490.0,0.5166209759217513,0.6121622529196502,0.6354118274653947,0.7062296126669894,0.7733515137440595
492.0,0.5143605751507209,0.6107041899494595,0.6338580115386613,0.7042669946777982,0.7711979146498116
494.0,0.5121191744027144,0.6092554938148789,0.6323142757164022,0.702317759657104,0.7690590131257908
496.0,0.5098965380138997,0.6078160667834575,0.6307805141912113,0.7003817627172997,0.7669346499686315
498.0,0.5076924341780216,0.606385812531203,0.6292566226871142,0.6984588611153171,0.7648246683322983
500.0,0.5055066348680827,0.6049646361167267,0.6277424984313613,0.6965489142124279,0.762728913683887
502.0,0.5033389157599184,0.6035524439559636,0.6262380401268495,0.6946517834349558,0.7606472337604249
504.0,0.5011890561576161,0.6021491437974547,0.6247431479251584,0.6927673322358753,0.7585794785266465
506.0,0.4990568389207233,0.6007546446981737,0.6232577234001835,0.6908954260572725,0.7565255001337196
508.0,0.49694205039319916,0.5993688569998878,0.6217816695223518,0.6890359322936491,0.7544851528788941
510.0,0.4948444803340573,0.5979916923060347,0.6203148906334032,0.6871887202560414,0.7524582931660531
