lambda,raw_umber_1_4.17.25,raw_umber_3_4.17.25,raw_umber_4_4.17.25,raw_umber_5_4.17.25,raw_umber_6_4.17.25
620.0,0.4015,0.5332,0.5537,0.6039,0.6617
622.0,0.3978,0.5316,0.5506,0.6001,0.6598
624.0,0.3956,0.5305,0.5494,0.5982,0.6573
626.0,0.3956,0.531,0.549,0.5984,0.6546
628.0,0.3956,0.5284,0.5474,0.5967,0.6507
630.0,0.3956,0.529,0.544,0.5926,0.6533
632.0,0.3956,0.5264,0.5455,0.5909,0.6506
634.0,0.3922,0.5269,0.5451,0.5913,0.6462
636.0,0.3922,0.5278,0.5422,0.589,0.6441
638.0,0.3922,0.5251,0.5432,0.5874,0.6416
640.0,0.3922,0.5258,0.5419,0.5854,0.6427
642.0,0.39,0.5243,0.5404,0.5876,0.6403
644.0,0.39,0.523,0.5414,0.5854,0.638
646.0,0.39,0.5215,0.54,0.5838,0.6354
648.0,0.391,0.5202,0.5386,0.586,0.6384
650.0,0.3852,0.5172,0.538,0.5823,0.6363
652.0,0.3838,0.5179,0.535,0.5806,0.6341
654.0,0.3808,0.5153,0.5364,0.5787,0.6321
656.0,0.3787,0.5162,0.5331,0.5788,0.6327
658.0,0.3787,0.5162,0.5317,0.5753,0.6304
660.0,0.3787,0.5145,0.5327,0.5771,0.6334
662.0,0.3764,0.5155,0.5301,0.5754,0.631
664.0,0.3764,0.5139,0.5284,0.5733,0.6268
666.0,0.3737,0.511,0.5253,0.5734,0.6242
668.0,0.3716,0.5098,0.5267,0.5734,0.6225
670.0,0.3713,0.5106,0.5253,0.57,0.6203
672.0,0.3676,0.5077,0.5234,0.5719,0.618
674.0,0.3713,0.5065,0.5246,0.5704,0.6205
676.0,0.3713,0.507,0.5231,0.5687,0.6187
678.0,0.3713,0.507,0.5243,0.5669,0.617
680.0,0.3713,0.5079,0.5228,0.5648,0.6189
682.0,0.3676,0.5051,0.5241,0.567,0.6146
684.0,0.3676,0.5058,0.5213,0.5633,0.6127
686.0,0.3676,0.5047,0.5198,0.5616,0.6152
688.0,0.3652,0.5033,0.5194,0.5615,0.6137
690.0,0.3622,0.5026,0.5181,0.5598,0.6092
692.0,0.3622,0.5014,0.5167,0.5582,0.6072
694.0,0.3584,0.4987,0.5176,0.5563,0.6095
696.0,0.3584,0.4993,0.5147,0.5584,0.6078
698.0,0.3554,0.4978,0.5132,0.555,0.6056
700.0,0.3519,0.4968,0.5128,0.5535,0.6058
702.0,0.3485,0.4954,0.5113,0.5532,0.6042
704.0,0.3519,0.4954,0.5126,0.5518,0.6021
706.0,0.3554,0.496,0.511,0.5501,0.6045
708.0,0.3557,0.4948,0.5121,0.5484,0.6024
710.0,0.3557,0.4932,0.5092,0.545,0.6007
712.0,0.3554,0.4927,0.508,0.5466,0.5965
714.0,0.3519,0.4915,0.508,0.5453,0.5944
716.0,0.3519,0.4921,0.5075,0.5436,0.595
718.0,0.3485,0.4908,0.5061,0.5452,0.5928
720.0,0.3464,0.4908,0.5049,0.5434,0.5911
722.0,0.3423,0.4893,0.5034,0.5418,0.5888
724.0,0.3469,0.49,0.5058,0.5401,0.5911
726.0,0.3469,0.4889,0.5066,0.5401,0.5911
728.0,0.3469,0.4876,0.5053,0.5385,0.5935
730.0,0.3469,0.4883,0.5038,0.5387,0.5918
732.0,0.3469,0.4869,0.5025,0.5373,0.5895
734.0,0.3423,0.4869,0.4997,0.5352,0.5816
736.0,0.3469,0.4869,0.4997,0.5352,0.5799
738.0,0.3469,0.4857,0.4985,0.5322,0.5819
740.0,0.3423,0.4843,0.4993,0.5338,0.5804
742.0,0.3406,0.485,0.4981,0.5338,0.5824
744.0,0.3406,0.4836,0.4989,0.5324,0.5802
746.0,0.3388,0.4824,0.4998,0.5337,0.5823
748.0,0.3388,0.4831,0.4987,0.5337,0.5823
750.0,0.3388,0.4819,0.4972,0.5321,0.5809
